Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Heap Sort,aleatorio,10,1,0,56,23
Heap Sort,aleatorio,20,2,0,158,69
Heap Sort,aleatorio,30,3,0,276,123
Heap Sort,aleatorio,40,4,0,400,180
Heap Sort,aleatorio,50,4,0,518,234
Heap Sort,aleatorio,60,5,0,668,304
Heap Sort,aleatorio,70,6,0,816,373
Heap Sort,aleatorio,80,7,0,954,437
Heap Sort,aleatorio,90,8,0,1108,509
Heap Sort,aleatorio,100,10,0,1270,585
Heap Sort,aleatorio,110,11,0,1428,659
Heap Sort,aleatorio,120,11,0,1594,737
Heap Sort,aleatorio,130,12,0,1734,802
Heap Sort,aleatorio,140,13,0,1886,873
Heap Sort,aleatorio,150,14,0,2060,955
Heap Sort,aleatorio,160,15,0,2214,1027
Heap Sort,aleatorio,170,16,0,2394,1112
Heap Sort,aleatorio,180,18,0,2594,1207
Heap Sort,aleatorio,190,19,0,2780,1295
Heap Sort,aleatorio,200,20,0,2938,1369
Heap Sort,aleatorio,210,22,0,3124,1457
Heap Sort,aleatorio,220,23,0,3292,1536
Heap Sort,aleatorio,230,24,0,3478,1624
Heap Sort,aleatorio,240,27,0,3662,1711
Heap Sort,aleatorio,250,27,0,3800,1775
Heap Sort,aleatorio,260,36,0,3996,1868
Heap Sort,aleatorio,270,28,0,4170,1950
Heap Sort,aleatorio,280,33,0,4362,2041
Heap Sort,aleatorio,290,50,0,4530,2120
Heap Sort,aleatorio,300,35,0,4740,2220
Heap Sort,aleatorio,310,33,0,4938,2314
Heap Sort,aleatorio,320,35,0,5116,2398
Heap Sort,aleatorio,330,36,0,5340,2505
Heap Sort,aleatorio,340,37,0,5476,2568
Heap Sort,aleatorio,350,38,0,5692,2671
Heap Sort,aleatorio,360,40,0,5880,2760
Heap Sort,aleatorio,370,40,0,6064,2847
Heap Sort,aleatorio,380,42,0,6272,2946
