Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Insertion Sort,aleatorio,10,0,0,26,35
Insertion Sort,aleatorio,20,1,0,95,114
Insertion Sort,aleatorio,30,1,0,223,252
Insertion Sort,aleatorio,40,2,0,388,427
Insertion Sort,aleatorio,50,2,0,616,665
Insertion Sort,aleatorio,60,3,0,916,975
Insertion Sort,aleatorio,70,4,0,1191,1260
Insertion Sort,aleatorio,80,6,0,1461,1540
Insertion Sort,aleatorio,90,6,0,1845,1934
Insertion Sort,aleatorio,100,8,0,2245,2344
Insertion Sort,aleatorio,110,8,0,2726,2835
Insertion Sort,aleatorio,120,9,0,3190,3309
Insertion Sort,aleatorio,130,11,0,3883,4012
Insertion Sort,aleatorio,140,12,0,4524,4663
Insertion Sort,aleatorio,150,14,0,5222,5371
Insertion Sort,aleatorio,160,16,0,5974,6133
Insertion Sort,aleatorio,170,25,0,6797,6966
Insertion Sort,aleatorio,180,19,0,7497,7676
Insertion Sort,aleatorio,190,30,0,8340,8529
Insertion Sort,aleatorio,200,23,0,9356,9555
Insertion Sort,aleatorio,210,26,0,10427,10636
Insertion Sort,aleatorio,220,28,0,11369,11588
Insertion Sort,aleatorio,230,30,0,12336,12565
Insertion Sort,aleatorio,240,35,0,13279,13518
Insertion Sort,aleatorio,250,36,0,14699,14948
Insertion Sort,aleatorio,260,40,0,16382,16641
Insertion Sort,aleatorio,270,42,0,17731,18000
Insertion Sort,aleatorio,280,66,0,18953,19232
Insertion Sort,aleatorio,290,51,0,20310,20599
Insertion Sort,aleatorio,300,51,0,21467,21766
Insertion Sort,aleatorio,310,54,0,22804,23113
Insertion Sort,aleatorio,320,58,0,24653,24972
Insertion Sort,aleatorio,330,75,0,26452,26781
Insertion Sort,aleatorio,340,66,0,28162,28501
Insertion Sort,aleatorio,350,70,0,30103,30452
Insertion Sort,aleatorio,360,76,0,32236,32595
Insertion Sort,aleatorio,370,82,0,33913,34282
Insertion Sort,aleatorio,380,83,0,35890,36269
Insertion Sort,aleatorio,390,88,0,37701,38090
Insertion Sort,aleatorio,400,92,0,39750,40149
Insertion Sort,aleatorio,410,96,0,41343,41752
Insertion Sort,aleatorio,420,111,0,43670,44089
Insertion Sort,aleatorio,430,157,0,45602,46031
Insertion Sort,aleatorio,440,112,0,48027,48466
Insertion Sort,aleatorio,450,152,0,50356,50805
Insertion Sort,aleatorio,460,123,0,53101,53560
Insertion Sort,aleatorio,470,128,0,55405,55874
Insertion Sort,aleatorio,480,132,0,57614,58093
Insertion Sort,aleatorio,490,166,0,60351,60840
Insertion Sort,aleatorio,500,143,0,62441,62940
Insertion Sort,aleatorio,510,225,0,64528,65037
Insertion Sort,aleatorio,520,163,0,66980,67499
Insertion Sort,aleatorio,530,226,0,69848,70377
Insertion Sort,aleatorio,540,165,0,72333,72872
Insertion Sort,aleatorio,550,177,0,74796,75345
Insertion Sort,aleatorio,560,251,0,77179,77738
Insertion Sort,aleatorio,570,182,0,78898,79467
Insertion Sort,aleatorio,580,188,0,81277,81856
Insertion Sort,aleatorio,590,192,0,84417,85006
Insertion Sort,aleatorio,600,200,0,86992,87591
Insertion Sort,aleatorio,610,261,0,89753,90362
Insertion Sort,aleatorio,620,210,0,91950,92569
Insertion Sort,aleatorio,630,323,0,95564,96193
Insertion Sort,aleatorio,640,314,0,98229,98868
Insertion Sort,aleatorio,650,230,0,101399,102048
Insertion Sort,aleatorio,660,247,0,104447,105106
Insertion Sort,aleatorio,670,246,0,107885,108554
Insertion Sort,aleatorio,680,258,0,111855,112534
Insertion Sort,aleatorio,690,287,0,115353,116042
Insertion Sort,aleatorio,700,344,0,119328,120027
Insertion Sort,aleatorio,710,406,0,123561,124270
Insertion Sort,aleatorio,720,289,0,126617,127336
Insertion Sort,aleatorio,730,302,0,130319,131048
Insertion Sort,aleatorio,740,305,0,134267,135006
Insertion Sort,aleatorio,750,311,0,137783,138532
Insertion Sort,aleatorio,760,324,0,141993,142752
Insertion Sort,aleatorio,770,393,0,145022,145791
Insertion Sort,aleatorio,780,334,0,148594,149373
Insertion Sort,aleatorio,790,346,0,151905,152694
Insertion Sort,aleatorio,800,363,0,155493,156292
Insertion Sort,aleatorio,810,361,0,159425,160234
Insertion Sort,aleatorio,820,373,0,163736,164555
Insertion Sort,aleatorio,830,379,0,167921,168750
Insertion Sort,aleatorio,840,384,0,170295,171134
Insertion Sort,aleatorio,850,390,0,173255,174104
Insertion Sort,aleatorio,860,403,0,177527,178386
Insertion Sort,aleatorio,870,443,0,182977,183846
Insertion Sort,aleatorio,880,430,0,189302,190181
Insertion Sort,aleatorio,890,442,0,195445,196334
Insertion Sort,aleatorio,900,500,0,200468,201367
Insertion Sort,aleatorio,910,461,0,205726,206635
Insertion Sort,aleatorio,920,473,0,209785,210704
Insertion Sort,aleatorio,930,480,0,213016,213945
Insertion Sort,aleatorio,940,487,0,216902,217841
Insertion Sort,aleatorio,950,506,0,221911,222860
Insertion Sort,aleatorio,960,508,0,226382,227341
Insertion Sort,aleatorio,970,525,0,231710,232679
Insertion Sort,aleatorio,980,741,0,236308,237287
Insertion Sort,aleatorio,990,561,0,241902,242891
Insertion Sort,aleatorio,1000,597,0,246576,247575
Insertion Sort,aleatorio,1010,610,0,252374,253383
Insertion Sort,aleatorio,1020,577,0,257766,258785
Insertion Sort,aleatorio,1030,594,0,263208,264237
Insertion Sort,aleatorio,1040,603,0,265813,266852
Insertion Sort,aleatorio,1050,704,0,270058,271107
Insertion Sort,aleatorio,1060,622,0,275043,276102
Insertion Sort,aleatorio,1070,637,0,279965,281034
Insertion Sort,aleatorio,1080,645,0,286079,287158
Insertion Sort,aleatorio,1090,933,0,292749,293838
Insertion Sort,aleatorio,1100,672,0,298367,299466
Insertion Sort,aleatorio,1110,679,0,304131,305240
Insertion Sort,aleatorio,1120,696,0,307235,308354
Insertion Sort,aleatorio,1130,695,0,310953,312082
Insertion Sort,aleatorio,1140,757,0,316646,317785
Insertion Sort,aleatorio,1150,724,0,322664,323813
Insertion Sort,aleatorio,1160,792,0,328048,329207
Insertion Sort,aleatorio,1170,802,0,334631,335800
Insertion Sort,aleatorio,1180,788,0,340654,341833
Insertion Sort,aleatorio,1190,809,0,347874,349063
Insertion Sort,aleatorio,1200,796,0,352936,354135
Insertion Sort,aleatorio,1210,800,0,359216,360425
Insertion Sort,aleatorio,1220,813,0,364822,366041
Insertion Sort,aleatorio,1230,1225,0,372041,373270
Insertion Sort,aleatorio,1240,859,0,379674,380913
Insertion Sort,aleatorio,1250,860,0,385015,386264
Insertion Sort,aleatorio,1260,964,0,391217,392476
Insertion Sort,aleatorio,1270,897,0,397886,399155
Insertion Sort,aleatorio,1280,914,0,403496,404775
Insertion Sort,aleatorio,1290,937,0,410788,412077
Insertion Sort,aleatorio,1300,924,0,414990,416289
