Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Quick Sort Pivo Aleatorio,Aleatorio,10,2,0,25,21
Quick Sort Pivo Aleatorio,Aleatorio,20,1,0,73,37
Quick Sort Pivo Aleatorio,Aleatorio,30,2,0,128,102
Quick Sort Pivo Aleatorio,Aleatorio,40,3,0,252,121
Quick Sort Pivo Aleatorio,Aleatorio,50,4,0,264,125
Quick Sort Pivo Aleatorio,Aleatorio,60,4,0,467,248
Quick Sort Pivo Aleatorio,Aleatorio,70,6,0,420,213
Quick Sort Pivo Aleatorio,Aleatorio,80,6,0,556,271
Quick Sort Pivo Aleatorio,Aleatorio,90,6,0,862,366
Quick Sort Pivo Aleatorio,Aleatorio,100,7,0,833,343
Quick Sort Pivo Aleatorio,Aleatorio,110,10,0,977,421
Quick Sort Pivo Aleatorio,Aleatorio,120,8,0,1123,375
Quick Sort Pivo Aleatorio,Aleatorio,130,10,0,1203,344
Quick Sort Pivo Aleatorio,Aleatorio,140,10,0,1714,441
Quick Sort Pivo Aleatorio,Aleatorio,150,14,0,1553,677
Quick Sort Pivo Aleatorio,Aleatorio,160,14,0,1901,540
Quick Sort Pivo Aleatorio,Aleatorio,170,13,0,2087,787
Quick Sort Pivo Aleatorio,Aleatorio,180,13,0,1950,728
Quick Sort Pivo Aleatorio,Aleatorio,190,15,0,2350,661
Quick Sort Pivo Aleatorio,Aleatorio,200,15,0,2402,790
Quick Sort Pivo Aleatorio,Aleatorio,210,17,0,2672,673
Quick Sort Pivo Aleatorio,Aleatorio,220,16,0,2797,1117
Quick Sort Pivo Aleatorio,Aleatorio,230,19,0,3052,1020
Quick Sort Pivo Aleatorio,Aleatorio,240,19,0,3904,809
Quick Sort Pivo Aleatorio,Aleatorio,250,27,0,3474,788
Quick Sort Pivo Aleatorio,Aleatorio,260,28,0,3737,1295
Quick Sort Pivo Aleatorio,Aleatorio,270,22,0,3257,949
Quick Sort Pivo Aleatorio,Aleatorio,280,22,0,4056,1315
Quick Sort Pivo Aleatorio,Aleatorio,290,23,0,4518,1299
Quick Sort Pivo Aleatorio,Aleatorio,300,33,0,4464,1293
Quick Sort Pivo Aleatorio,Aleatorio,310,25,0,4996,951
Quick Sort Pivo Aleatorio,Aleatorio,320,26,0,4672,1184
Quick Sort Pivo Aleatorio,Aleatorio,330,26,0,5624,1430
Quick Sort Pivo Aleatorio,Aleatorio,340,28,0,5430,1676
Quick Sort Pivo Aleatorio,Aleatorio,350,29,0,5826,1477
Quick Sort Pivo Aleatorio,Aleatorio,360,32,0,6313,1754
Quick Sort Pivo Aleatorio,Aleatorio,370,45,0,6876,1929
Quick Sort Pivo Aleatorio,Aleatorio,380,33,0,6384,1562
Quick Sort Pivo Aleatorio,Aleatorio,390,33,0,6998,1465
Quick Sort Pivo Aleatorio,Aleatorio,400,39,0,6302,1819
Quick Sort Pivo Aleatorio,Aleatorio,410,36,0,6789,1920
Quick Sort Pivo Aleatorio,Aleatorio,420,38,0,7549,1705
Quick Sort Pivo Aleatorio,Aleatorio,430,36,0,7610,1979
Quick Sort Pivo Aleatorio,Aleatorio,440,38,0,8293,1634
Quick Sort Pivo Aleatorio,Aleatorio,450,44,0,8887,2253
Quick Sort Pivo Aleatorio,Aleatorio,460,40,0,8108,2036
Quick Sort Pivo Aleatorio,Aleatorio,470,53,0,10733,2010
Quick Sort Pivo Aleatorio,Aleatorio,480,52,0,12801,2679
Quick Sort Pivo Aleatorio,Aleatorio,490,47,0,8900,1931
Quick Sort Pivo Aleatorio,Aleatorio,500,48,0,10635,2585
Quick Sort Pivo Aleatorio,Aleatorio,510,48,0,9953,2038
Quick Sort Pivo Aleatorio,Aleatorio,520,48,0,9879,1923
Quick Sort Pivo Aleatorio,Aleatorio,530,62,0,10458,2141
Quick Sort Pivo Aleatorio,Aleatorio,540,49,0,11196,1811
Quick Sort Pivo Aleatorio,Aleatorio,550,53,0,12735,1904
