Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Selection Sort,aleatorio,10,0,0,45,6
Selection Sort,aleatorio,20,1,0,190,19
Selection Sort,aleatorio,30,2,0,435,25
Selection Sort,aleatorio,40,4,0,780,38
Selection Sort,aleatorio,50,5,0,1225,48
Selection Sort,aleatorio,60,6,0,1770,56
Selection Sort,aleatorio,70,8,0,2415,67
Selection Sort,aleatorio,80,10,0,3160,71
Selection Sort,aleatorio,90,12,0,4005,85
Selection Sort,aleatorio,100,16,0,4950,93
Selection Sort,aleatorio,110,16,0,5995,106
Selection Sort,aleatorio,120,19,0,7140,114
Selection Sort,aleatorio,130,23,0,8385,123
Selection Sort,aleatorio,140,25,0,9730,136
Selection Sort,aleatorio,150,29,0,11175,140
Selection Sort,aleatorio,160,36,0,12720,152
Selection Sort,aleatorio,170,36,0,14365,163
Selection Sort,aleatorio,180,40,0,16110,175
Selection Sort,aleatorio,190,52,0,17955,182
Selection Sort,aleatorio,200,49,0,19900,195
Selection Sort,aleatorio,210,53,0,21945,204
Selection Sort,aleatorio,220,71,0,24090,214
Selection Sort,aleatorio,230,62,0,26335,225
Selection Sort,aleatorio,240,67,0,28680,235
Selection Sort,aleatorio,250,74,0,31125,247
Selection Sort,aleatorio,260,79,0,33670,256
Selection Sort,aleatorio,270,101,0,36315,263
Selection Sort,aleatorio,280,96,0,39060,278
Selection Sort,aleatorio,290,97,0,41905,285
Selection Sort,aleatorio,300,103,0,44850,294
Selection Sort,aleatorio,310,110,0,47895,306
Selection Sort,aleatorio,320,116,0,51040,308
Selection Sort,aleatorio,330,123,0,54285,325
Selection Sort,aleatorio,340,132,0,57630,336
Selection Sort,aleatorio,350,139,0,61075,345
Selection Sort,aleatorio,360,175,0,64620,354
Selection Sort,aleatorio,370,180,0,68265,365
Selection Sort,aleatorio,380,162,0,72010,375
Selection Sort,aleatorio,390,171,0,75855,383
Selection Sort,aleatorio,400,179,0,79800,390
Selection Sort,aleatorio,410,196,0,83845,403
Selection Sort,aleatorio,420,196,0,87990,411
Selection Sort,aleatorio,430,206,0,92235,419
Selection Sort,aleatorio,440,215,0,96580,434
Selection Sort,aleatorio,450,223,0,101025,445
Selection Sort,aleatorio,460,235,0,105570,452
Selection Sort,aleatorio,470,247,0,110215,465
Selection Sort,aleatorio,480,256,0,114960,476
Selection Sort,aleatorio,490,278,0,119805,487
Selection Sort,aleatorio,500,273,0,124750,493
Selection Sort,aleatorio,510,284,0,129795,495
Selection Sort,aleatorio,520,297,0,134940,509
Selection Sort,aleatorio,530,309,0,140185,524
Selection Sort,aleatorio,540,319,0,145530,535
Selection Sort,aleatorio,550,329,0,150975,542
Selection Sort,aleatorio,560,340,0,156520,556
Selection Sort,aleatorio,570,358,0,162165,563
Selection Sort,aleatorio,580,365,0,167910,571
Selection Sort,aleatorio,590,378,0,173755,581
Selection Sort,aleatorio,600,403,0,179700,594
Selection Sort,aleatorio,610,401,0,185745,604
Selection Sort,aleatorio,620,416,0,191890,604
Selection Sort,aleatorio,630,433,0,198135,625
Selection Sort,aleatorio,640,441,0,204480,633
Selection Sort,aleatorio,650,479,0,210925,641
Selection Sort,aleatorio,660,468,0,217470,654
Selection Sort,aleatorio,670,482,0,224115,665
Selection Sort,aleatorio,680,496,0,230860,672
Selection Sort,aleatorio,690,526,0,237705,675
Selection Sort,aleatorio,700,524,0,244650,692
Selection Sort,aleatorio,710,538,0,251695,703
Selection Sort,aleatorio,720,581,0,258840,710
Selection Sort,aleatorio,730,677,0,266085,727
Selection Sort,aleatorio,740,585,0,273430,733
Selection Sort,aleatorio,750,715,0,280875,746
Selection Sort,aleatorio,760,621,0,288420,753
Selection Sort,aleatorio,770,634,0,296065,763
Selection Sort,aleatorio,780,662,0,303810,770
Selection Sort,aleatorio,790,663,0,311655,786
Selection Sort,aleatorio,800,688,0,319600,791
Selection Sort,aleatorio,810,698,0,327645,804
Selection Sort,aleatorio,820,841,0,335790,816
Selection Sort,aleatorio,830,766,0,344035,826
Selection Sort,aleatorio,840,749,0,352380,831
Selection Sort,aleatorio,850,764,0,360825,839
Selection Sort,aleatorio,860,783,0,369370,853
Selection Sort,aleatorio,870,800,0,378015,865
Selection Sort,aleatorio,880,820,0,386760,872
Selection Sort,aleatorio,890,837,0,395605,882
Selection Sort,aleatorio,900,869,0,404550,892
Selection Sort,aleatorio,910,874,0,413595,898
Selection Sort,aleatorio,920,893,0,422740,914
Selection Sort,aleatorio,930,954,0,431985,923
Selection Sort,aleatorio,940,987,0,441330,932
Selection Sort,aleatorio,950,950,0,450775,941
Selection Sort,aleatorio,960,970,0,460320,950
Selection Sort,aleatorio,970,995,0,469965,960
Selection Sort,aleatorio,980,1013,0,479710,973
Selection Sort,aleatorio,990,1327,0,489555,981
Selection Sort,aleatorio,1000,1052,0,499500,988
Selection Sort,aleatorio,1010,1072,0,509545,1005
Selection Sort,aleatorio,1020,1295,0,519690,1010
Selection Sort,aleatorio,1030,1113,0,529935,1020
Selection Sort,aleatorio,1040,1134,0,540280,1033
Selection Sort,aleatorio,1050,1162,0,550725,1041
Selection Sort,aleatorio,1060,1185,0,561270,1053
Selection Sort,aleatorio,1070,1237,0,571915,1060
Selection Sort,aleatorio,1080,1222,0,582660,1072
Selection Sort,aleatorio,1090,1243,0,593505,1082
Selection Sort,aleatorio,1100,1269,0,604450,1092
Selection Sort,aleatorio,1110,1292,0,615495,1102
Selection Sort,aleatorio,1120,1480,0,626640,1117
Selection Sort,aleatorio,1130,1337,0,637885,1122
Selection Sort,aleatorio,1140,1358,0,649230,1130
Selection Sort,aleatorio,1150,1405,0,660675,1145
Selection Sort,aleatorio,1160,1406,0,672220,1153
Selection Sort,aleatorio,1170,1589,0,683865,1163
Selection Sort,aleatorio,1180,1454,0,695610,1175
Selection Sort,aleatorio,1190,1479,0,707455,1178
Selection Sort,aleatorio,1200,1620,0,719400,1191
Selection Sort,aleatorio,1210,1525,0,731445,1200
Selection Sort,aleatorio,1220,1553,0,743590,1212
Selection Sort,aleatorio,1230,1577,0,755835,1222
Selection Sort,aleatorio,1240,1608,0,768180,1232
Selection Sort,aleatorio,1250,1736,0,780625,1239
Selection Sort,aleatorio,1260,1653,0,793170,1249
Selection Sort,aleatorio,1270,1680,0,805815,1258
Selection Sort,aleatorio,1280,1737,0,818560,1273
Selection Sort,aleatorio,1290,2050,0,831405,1284
Selection Sort,aleatorio,1300,1890,0,844350,1294
Selection Sort,aleatorio,1310,1790,0,857395,1302
Selection Sort,aleatorio,1320,1810,0,870540,1315
Selection Sort,aleatorio,1330,1841,0,883785,1325
Selection Sort,aleatorio,1340,1867,0,897130,1333
Selection Sort,aleatorio,1350,1920,0,910575,1340
Selection Sort,aleatorio,1360,1922,0,924120,1356
Selection Sort,aleatorio,1370,2191,0,937765,1364
Selection Sort,aleatorio,1380,1977,0,951510,1371
Selection Sort,aleatorio,1390,2067,0,965355,1382
Selection Sort,aleatorio,1400,2034,0,979300,1393
Selection Sort,aleatorio,1410,2106,0,993345,1406
Selection Sort,aleatorio,1420,2091,0,1007490,1414
Selection Sort,aleatorio,1430,2276,0,1021735,1422
Selection Sort,aleatorio,1440,2148,0,1036080,1432
Selection Sort,aleatorio,1450,2178,0,1050525,1438
Selection Sort,aleatorio,1460,2288,0,1065070,1451
Selection Sort,aleatorio,1470,2239,0,1079715,1462
Selection Sort,aleatorio,1480,2275,0,1094460,1475
Selection Sort,aleatorio,1490,2312,0,1109305,1482
Selection Sort,aleatorio,1500,2335,0,1124250,1495
Selection Sort,aleatorio,1510,2361,0,1139295,1499
Selection Sort,aleatorio,1520,2389,0,1154440,1517
Selection Sort,aleatorio,1530,2513,0,1169685,1524
Selection Sort,aleatorio,1540,2613,0,1185030,1527
Selection Sort,aleatorio,1550,2613,0,1200475,1543
Selection Sort,aleatorio,1560,2523,0,1216020,1556
Selection Sort,aleatorio,1570,2751,0,1231665,1561
Selection Sort,aleatorio,1580,2581,0,1247410,1571
Selection Sort,aleatorio,1590,2763,0,1263255,1582
Selection Sort,aleatorio,1600,2891,0,1279200,1596
Selection Sort,aleatorio,1610,2681,0,1295245,1599
Selection Sort,aleatorio,1620,2731,0,1311390,1613
Selection Sort,aleatorio,1630,2756,0,1327635,1621
